"Type","Start","End","Duration","Start Condition","Start Location","End Condition","Notes"
"Sleep","2023-11-10 16:34","2023-11-10 17:17","00:43",,,,
"Feed","2023-11-10 14:52",,,"Formula","Bottle","6.49oz",
"Sleep","2023-11-10 13:00","2023-11-10 14:08","01:08",,,,
"Feed","2023-11-10 11:09",,,"Formula","Bottle","4.5oz",
"Sleep","2023-11-10 09:09","2023-11-10 10:50","01:41",,,,
"Feed","2023-11-10 07:30",,,"Formula","Bottle","7.41oz",
"Sleep","2023-11-09 19:54","2023-11-10 07:22","11:28",,,,
"Feed","2023-11-09 18:03",,,"Formula","Bottle","6.83oz",
"Sleep","2023-11-09 17:00","2023-11-09 17:34","00:34",,,,
"Diaper","2023-11-09 15:50",,,,,"Poo:medium",
"Feed","2023-11-09 14:46",,,"Formula","Bottle","6.32oz",
"Sleep","2023-11-09 12:53","2023-11-09 14:29","01:36",,,,
"Solids","2023-11-09 12:04",,,"Oatmeal","Solids",,"plus 40ish oz of formula"
"Feed","2023-11-09 11:11",,,"Formula","Bottle","5.14oz",
"Sleep","2023-11-09 09:07","2023-11-09 10:55","01:48",,,,
"Diaper","2023-11-09 08:15",,,,,"Poo:large",
"Feed","2023-11-09 07:27",,,"Formula","Bottle","6.15oz",
"Sleep","2023-11-08 19:50","2023-11-09 07:22","11:32",,,,
"Diaper","2023-11-08 18:45",,,,,"Poo:large",
"Feed","2023-11-08 18:10",,,"Formula","Bottle","5.82oz",
"Sleep","2023-11-08 16:51","2023-11-08 17:26","00:35",,,,
"Feed","2023-11-08 14:44",,,"Formula","Bottle","6.49oz",
"Sleep","2023-11-08 12:36","2023-11-08 14:23","01:47",,,,
"Diaper","2023-11-08 11:58",,,,,"Poo:large",
"Solids","2023-11-08 11:55",,,"Oatmeal","Solids",,"added 1oz of formula"
"Feed","2023-11-08 11:16",,,"Formula","Bottle","6.49oz",
"Sleep","2023-11-08 09:14","2023-11-08 10:31","01:16",,,,
"Feed","2023-11-08 07:34",,,"Formula","Bottle","7.5oz",
"Sleep","2023-11-07 19:42","2023-11-08 07:26","11:44",,,,
"Feed","2023-11-07 18:00",,,"Formula","Bottle","6.49oz",
"Sleep","2023-11-07 16:54","2023-11-07 17:33","00:39",,,,
"Diaper","2023-11-07 16:06",,,,,"Poo:medium",
"Feed","2023-11-07 14:57",,,"Formula","Bottle","7.34oz",
"Sleep","2023-11-07 13:12","2023-11-07 14:47","01:35",,,,
"Solids","2023-11-07 12:15",,,"Salmon, beet, broccoli","Solids",,
"Feed","2023-11-07 11:17",,,"Formula","Bottle","7.17oz",
"Sleep","2023-11-07 09:11","2023-11-07 11:04","01:53",,,,
"Diaper","2023-11-07 08:27",,,,,"Poo:large",
"Diaper","2023-11-07 08:05",,,,,"Poo:small",
"Feed","2023-11-07 07:32",,,"Formula","Bottle","7.5oz",
"Sleep","2023-11-06 20:02","2023-11-07 07:26","11:24",,,,
"Diaper","2023-11-06 18:50",,,,,"Poo:large",
"Feed","2023-11-06 18:13",,,"Formula","Bottle","6.83oz",
"Sleep","2023-11-06 17:05","2023-11-06 17:36","00:31",,,,
"Feed","2023-11-06 14:49",,,"Formula","Bottle","5.82oz",
"Sleep","2023-11-06 12:33","2023-11-06 14:33","02:00",,,,
"Solids","2023-11-06 11:50",,,"Salmon, beet, egg","Solids",,
"Feed","2023-11-06 11:04",,,"Formula","Bottle","7.17oz",
"Sleep","2023-11-06 09:11","2023-11-06 10:20","01:09",,,,
"Feed","2023-11-06 07:31",,,"Formula","Bottle","6.83oz",
"Sleep","2023-11-05 19:45","2023-11-06 07:26","11:41",,,,
"Diaper","2023-11-05 18:50",,,,,"Poo:large",
"Feed","2023-11-05 18:02",,,"Formula","Bottle","7.17oz",
"Sleep","2023-11-05 16:26","2023-11-05 17:21","00:55",,,,
"Feed","2023-11-05 14:41",,,"Formula","Bottle","6.32oz",
"Sleep","2023-11-05 12:48","2023-11-05 14:09","01:21",,,,
"Solids","2023-11-05 12:00",,,"Peanut butter, egg, oatmeal","Solids",,
"Diaper","2023-11-05 11:50",,,,,"Poo:medium",
"Feed","2023-11-05 10:50",,,"Formula","Bottle","5.5oz",
"Sleep","2023-11-05 08:30","2023-11-05 10:43","02:13",,,,
"Feed","2023-11-05 06:57",,,"Formula","Bottle","6.5oz",
"Sleep","2023-11-04 20:00","2023-11-05 07:53","11:53",,,,
"Diaper","2023-11-04 18:55",,,,,"Poo:large",
"Feed","2023-11-04 18:14",,,"Formula","Bottle","6.66oz",
"Sleep","2023-11-04 17:15","2023-11-04 17:53","00:38",,,,
"Diaper","2023-11-04 16:30",,,,,"Poo",
"Feed","2023-11-04 14:45",,,"Formula","Bottle","6.66oz",
"Sleep","2023-11-04 12:53","2023-11-04 14:34","01:41",,,,
"Solids","2023-11-04 12:00",,,"Carrot, egg","Solids",,
"Feed","2023-11-04 10:59",,,"Formula","Bottle","6.66oz",
"Sleep","2023-11-04 09:15","2023-11-04 10:52","01:37",,,,
"Feed","2023-11-04 07:42",,,"Formula","Bottle","6.32oz",
"Sleep","2023-11-03 19:57","2023-11-04 07:30","11:33",,,,
"Diaper","2023-11-03 19:00",,,,,"Poo",
"Feed","2023-11-03 18:20",,,"Formula","Bottle","7.5oz",
"Sleep","2023-11-03 17:22","2023-11-03 17:47","00:25",,,,
"Feed","2023-11-03 14:55",,,"Formula","Bottle","7.5oz",
"Sleep","2023-11-03 13:06","2023-11-03 14:46","01:40",,,,
"Solids","2023-11-03 12:00",,,"Peanut butter, oatmeal","Solids",,
"Diaper","2023-11-03 11:50",,,,,"Poo",
"Feed","2023-11-03 11:04",,,"Formula","Bottle","6.32oz",
"Sleep","2023-11-03 09:15","2023-11-03 10:51","01:36",,,,
"Diaper","2023-11-03 08:35",,,,,"Poo:large",
"Feed","2023-11-03 07:41",,,"Formula","Bottle","6.66oz",
"Sleep","2023-11-02 19:53","2023-11-03 07:31","11:37",,,,
"Diaper","2023-11-02 18:45",,,,,"Poo:large",
"Feed","2023-11-02 18:18",,,"Formula","Bottle","7.25oz",
"Sleep","2023-11-02 17:01","2023-11-02 17:31","00:30",,,,
"Feed","2023-11-02 14:59",,,"Formula","Bottle","7.5oz",
"Sleep","2023-11-02 12:58","2023-11-02 14:51","01:53",,,,
"Solids","2023-11-02 12:10",,,"Mango, oatmeal","Solids",,"used 10oz of formula in oatmeal"
"Feed","2023-11-02 11:04",,,"Formula","Bottle","7.17oz",
"Sleep","2023-11-02 09:04","2023-11-02 10:45","01:41",,,,
"Feed","2023-11-02 07:31",,,"Formula","Bottle","5.5oz",
"Sleep","2023-11-01 19:46","2023-11-02 07:25","11:39",,,,
"Feed","2023-11-01 17:57",,,"Formula","Bottle","7oz",
"Sleep","2023-11-01 16:54","2023-11-01 17:31","00:37",,,,
"Diaper","2023-11-01 15:36",,,,,"Poo:medium",
"Feed","2023-11-01 14:46",,,"Formula","Bottle","7oz",
"Sleep","2023-11-01 12:29","2023-11-01 14:32","02:03",,,,
"Diaper","2023-11-01 12:09",,,,,"Poo:large",
"Solids","2023-11-01 11:50",,,"Pumpkin, chicken","Solids",,
"Feed","2023-11-01 11:00",,,"Formula","Bottle","7.5oz",
"Sleep","2023-11-01 09:04","2023-11-01 10:31","01:27",,,,
"Diaper","2023-11-01 08:50",,,,,"Poo:small",
"Feed","2023-11-01 07:33",,,"Formula","Bottle","7.5oz",
"Sleep","2023-10-31 19:48","2023-11-01 07:25","11:36",,,,
"Feed","2023-10-31 17:55",,,"Formula","Bottle","7.25oz",
"Sleep","2023-10-31 17:00","2023-10-31 17:32","00:32",,,,
"Diaper","2023-10-31 16:45",,,,,"Poo:medium",
"Feed","2023-10-31 14:46",,,"Formula","Bottle","7.5oz",
"Sleep","2023-10-31 12:42","2023-10-31 14:37","01:55",,,,
"Solids","2023-10-31 12:15",,,"Pumpkin, broccoli","Solids",,
"Feed","2023-10-31 10:59",,,"Formula","Bottle","6.83oz",
"Sleep","2023-10-31 09:05","2023-10-31 10:33","01:28",,,,
"Feed","2023-10-31 07:32",,,"Formula","Bottle","6.32oz",
"Sleep","2023-10-30 19:40","2023-10-31 07:26","11:46",,,,
"Diaper","2023-10-30 18:59",,,,,"Poo:large",
"Feed","2023-10-30 18:11",,,"Formula","Bottle","7oz",
"Sleep","2023-10-30 16:45","2023-10-30 17:20","00:35",,,,
